date,open,high,low,close,volume,amount
2024-05-14 14:45:00,559.32,559.36,556.54,557.06,4669,79127
2024-05-14 15:00:00,557.02,557.18,556.68,556.78,764,78969
2024-05-14 22:00:00,558.88,560.24,558.14,560.06,8585,79303
2024-05-14 23:00:00,560.06,560.70,559.10,560.52,7773,80054
2024-05-15 00:00:00,560.46,561.04,559.46,559.58,5105,81092
2024-05-15 01:00:00,559.58,561.40,559.28,560.98,1696,81100
2024-05-15 02:00:00,560.98,561.50,560.66,561.30,1038,81154
2024-05-15 09:30:00,561.30,562.04,560.70,561.26,3032,81440
2024-05-15 10:45:00,561.26,561.70,560.22,560.36,4294,80904
2024-05-15 13:45:00,560.38,560.78,559.74,560.14,3685,80542
2024-05-15 14:45:00,560.14,561.16,560.00,560.84,5319,81174
